code,date,source,text,stage_hit,negative,category,short_text
002708.SZ,20251120,互动易,请问董秘，公司的柔性电路业务发展得如何？前景怎么样？ | 您好，公司线路板业务主要研发制造应用于消费电子和新能源汽车中各类FPCB板，随着消费电子技术迭代持续突破，以及汽车电子零部件市场需求持续攀升，线路板业务市场广阔。公司FPC及RFPC产品以高多层Anylayer 的HDI产品为主，产品应用覆盖智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域，目前公司业务增量明显，并且随着海外市场份额的不断提升以及国内市场的突破，公司FPC板块盈利能力将持续改善。感谢您的关注！,False,False,BOM/产品能力,请问董秘，公司的柔性电路业务发展得如何？前景怎么样？ | 您好，公司线路板业务主要研发制造应用于消费电子和新能源汽车中各类FPCB板，随着消费电子技术迭代持续突破，以及汽车电子零部件市场需求持续攀升，线路板业务市场广阔。公司FPC及RFPC产品以高多层Anylayer 的HDI产品为主，产品应用覆盖智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域，目前公司业务增量明显，并且随着海外市场份额的不断提升以及国内市场的突破，公司FPC板块盈利能力将持续改善。感谢您的关注！
002708.SZ,20251111,互动易,小鹏人形机器人已出，请问公司主要提供哪些人形机器人产品？谢谢 | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，各类型机器人均可适配，感谢您的关注。,False,False,BOM/产品能力,小鹏人形机器人已出，请问公司主要提供哪些人形机器人产品？谢谢 | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，各类型机器人均可适配，感谢您的关注。
002708.SZ,20251111,互动易,请问小鹏是不是公司重要客户？半年报披露的人形机器人头部客户关节模组项目产品已获量产定点，预计9月交付，现在已经11月份了，请问人形机器人该项目产品交付客户了没有？谢谢 | 您好，小鹏是公司核心客户之一。半年报披露的人形机器人头部客户关节模组齿轮项目按计划推进中，已经开始交付，感谢您的关注。,True,False,商业化阶段,请问小鹏是不是公司重要客户？半年报披露的人形机器人头部客户关节模组项目产品已获量产定点，预计9月交付，现在已经11月份了，请问人形机器人该项目产品交付客户了没有？谢谢 | 您好，小鹏是公司核心客户之一。半年报披露的人形机器人头部客户关节模组齿轮项目按计划推进中，已经开始交付，感谢您的关注。
002708.SZ,20251111,互动易,"公司刚入股人形机器人逐际动力持股比例多少？谢谢 | 您好，公司已向逐际动力支付2,000万元认购款，据工商登记信息显示，公司持有其0.6667%股权。",False,False,投资合作/补链,"公司刚入股人形机器人逐际动力持股比例多少？谢谢 | 您好，公司已向逐际动力支付2,000万元认购款，据工商登记信息显示，公司持有其0.6667%股权。"
002708.SZ,20251111,互动易,投资者很高兴看到公司在人形机器人领域的布局在不断加码，能不能综合概述下公司在人形机器人领域的核心是哪些东西？相关项目产品是否是人形机器人关键环节？谢谢 | 您好，公司主要聚焦机器人关节模组和感应模组领域，包括各类标准轴承、交叉滚子轴承、行星齿轮、滚珠丝杠、行星滚柱丝杠及电路板产品，是机器人的关键组成部分。目前公司通过资本与产业双向合作的方式加速布局机器人业务，同时加强集成化产品的研发制造，感谢您的关注！,True,False,BOM/产品能力,投资者很高兴看到公司在人形机器人领域的布局在不断加码，能不能综合概述下公司在人形机器人领域的核心是哪些东西？相关项目产品是否是人形机器人关键环节？谢谢 | 您好，公司主要聚焦机器人关节模组和感应模组领域，包括各类标准轴承、交叉滚子轴承、行星齿轮、滚珠丝杠、行星滚柱丝杠及电路板产品，是机器人的关键组成部分。目前公司通过资本与产业双向合作的方式加速布局机器人业务，同时加强集成化产品的研发制造，感谢您的关注！
002708.SZ,20251111,互动易,请问光洋机器人公司主要产品会覆盖哪些？是什么样的规划方向？谢谢 | 您好，公司聚焦机器人关节模组和感应模组相关零部件，同时加强集成化产品的研发制造，公司设立黄山光洋机器人有限公司作为独立运营主体，是加速公司机器人用精密零部件项目研发进程和业务布局的重要举措，感谢您的关注！,False,False,产能扩张,请问光洋机器人公司主要产品会覆盖哪些？是什么样的规划方向？谢谢 | 您好，公司聚焦机器人关节模组和感应模组相关零部件，同时加强集成化产品的研发制造，公司设立黄山光洋机器人有限公司作为独立运营主体，是加速公司机器人用精密零部件项目研发进程和业务布局的重要举措，感谢您的关注！
002708.SZ,20251106,互动易,董秘你好，我想知道贵公司是否参加小鹏机器人的业务当中，参与度多少，包括哪些零部件的提供吗。 | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，也投资了上下游相关企业，涉及具体项目信息，不便回复，感谢您的关注！,False,True,降权/否定证据,董秘你好，我想知道贵公司是否参加小鹏机器人的业务当中，参与度多少，包括哪些零部件的提供吗。 | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，也投资了上下游相关企业，涉及具体项目信息，不便回复，感谢您的关注！
002708.SZ,20251031,互动易,"董秘您好！请问贵公司与苏州卓誉电气技术有限公司的具体合作事项有哪些？ | 您好，公司在2025年第三季度报告中已对相关事项进行了披露，公司于2025年10月20日召开第二十七次执行委员会，审议通过向苏州卓誉电气技术有限公司（以下简称“卓誉科技”）进行股权投资并达成战略合作事项，同意公司向卓誉科技增资3,000万元，认购其6.5217%股权，同时在具身智能关节模组产品领域开展深度合作。目前卓誉科技尚处于量产的早期阶段，公司深耕制造业多年，可在产品制造方面赋能卓誉科技，为其生产关节模组中的轴承、齿轮、PCB板等零部件，进一步帮助卓誉科技降低采购成本，卓誉科技帮助公司补齐机电一体化中“电”的能力，更快向总成产品进行拓展。截至目前，公司已与相关方签署完成《增资协议》《股东协议》《战略合作协议》，后续公司将按照协议约定完成增资款的缴付并开展深度合作，感谢您的关注！",True,False,投资合作/补链,"董秘您好！请问贵公司与苏州卓誉电气技术有限公司的具体合作事项有哪些？ | 您好，公司在2025年第三季度报告中已对相关事项进行了披露，公司于2025年10月20日召开第二十七次执行委员会，审议通过向苏州卓誉电气技术有限公司（以下简称“卓誉科技”）进行股权投资并达成战略合作事项，同意公司向卓誉科技增资3,000万元，认购其6.5217%股权，同时在具身智能关节模组产品领域开展深度合作。目前卓誉科技尚处于量产的早期阶段，公司深耕制造业多年，可在产品制造方面赋能卓誉科技，为其生产关节模组中的轴承、齿轮、PCB板等零部件，进一步帮助卓誉科技降低采购成本，卓誉科技帮助公司补齐机电一体化中“电”的能力，更快向总成产品进行拓展。截至目前，公司已与相关方签署完成《增资协议》《股东协议》《战略合作协议》，后续公司将按照协议约定完成增资款的缴付并开展深度合作，感谢您的关注！"
002708.SZ,20251020,互动易,董秘您好，请问公司是否有创投相关业务？ | 您好，公司专注于各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部件及电子线路板、电子元器件的研发、生产与销售，始终关注市场动态和行业趋势，寻求内生式增长和外延式扩张协调发展，提升公司综合竞争力。公司围绕主营业务开展了相关投资与布局，以现金方式对陕西大祺传感电子科技有限公司、深圳某科技有限公司进行增资，深化产业协作，形成良好的协同效应；同时，经公司第五届董事会第十六次会议及2025年第二次临时股东大会审议通过，公司拟作为有限合伙人，投资设立黄山建投富海光洋机器人产业基金合伙企业（有限合伙）（暂定名），拟借助各方资源及专业投资机构的力量，更有效率、更安全地进行产业投资的新尝试，目前该事项处于筹划设立阶段，具体内容详见公司披露的相关公告，谢谢。,False,False,产能扩张,董秘您好，请问公司是否有创投相关业务？ | 您好，公司专注于各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部件及电子线路板、电子元器件的研发、生产与销售，始终关注市场动态和行业趋势，寻求内生式增长和外延式扩张协调发展，提升公司综合竞争力。公司围绕主营业务开展了相关投资与布局，以现金方式对陕西大祺传感电子科技有限公司、深圳某科技有限公司进行增资，深化产业协作，形成良好的协同效应；同时，经公司第五届董事会第十六次会议及2025年第二次临时股东大会审议通过，公司拟作为有限合伙人，投资设立黄山建投富海光洋机器人产业基金合伙企业（有限合伙）（暂定名），拟借助各方资源及专业投资机构的力量，更有效率、更安全地进行产业投资的新尝试，目前该事项处于筹划设立阶段，具体内容详见公司披露的相关公告，谢谢。
002708.SZ,20251018,公告目录,关于投资设立机器人业务公司的进展公告,False,False,其他产业线索,关于投资设立机器人业务公司的进展公告
002708.SZ,20251018,公告目录,关于投资设立机器人业务公司的进展公告,False,False,其他产业线索,关于投资设立机器人业务公司的进展公告
002708.SZ,20251015,互动易,目前公司产品在汽车领域与机器人领域，是如何布局规划的？ | 您好，公司秉行立足汽车、走出汽车的发展战略。立足汽车方面，公司始终坚定国产化替代与新能源汽车的战略方向，致力于向中高端、电动化、智能化、轻量化等方向转型升级；走出汽车方面，机器人是最主要的支点，公司充分运用在汽车零部件产品的技术、质量与量产管理优势，并通过资本和业务层面加大与机器人行业相关企业合作，密切关注行业技术发展趋势，聚焦机器人关节模组和感应模组相关零部件，同时加强集成化产品的研发制造。感谢您的关注！,True,False,BOM/产品能力,目前公司产品在汽车领域与机器人领域，是如何布局规划的？ | 您好，公司秉行立足汽车、走出汽车的发展战略。立足汽车方面，公司始终坚定国产化替代与新能源汽车的战略方向，致力于向中高端、电动化、智能化、轻量化等方向转型升级；走出汽车方面，机器人是最主要的支点，公司充分运用在汽车零部件产品的技术、质量与量产管理优势，并通过资本和业务层面加大与机器人行业相关企业合作，密切关注行业技术发展趋势，聚焦机器人关节模组和感应模组相关零部件，同时加强集成化产品的研发制造。感谢您的关注！
002708.SZ,20251013,互动易,请问贵公司是否有产品交付机器人公司？或者即将交付？ | 您好，公司半年报中已经做了相关项目的信息披露。公司积极布局机器人业务，加大机器人用关节模组、减速器及轴承、齿轮、PCB等产品的研发和业务拓展，多款产品已经量产，部分产品正在验证阶段，谢谢。,True,False,商业化阶段,请问贵公司是否有产品交付机器人公司？或者即将交付？ | 您好，公司半年报中已经做了相关项目的信息披露。公司积极布局机器人业务，加大机器人用关节模组、减速器及轴承、齿轮、PCB等产品的研发和业务拓展，多款产品已经量产，部分产品正在验证阶段，谢谢。
002708.SZ,20251013,互动易,请问贵公司是否有机器人相关产品？ | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造。公司产品序列包括各类标准轴承、交叉滚子轴承、行星齿轮、滚珠丝杠、行星滚柱丝杠及电路板产品都可适用于机器人，各类减速器、关节模组和感应模组均可适配，谢谢。,False,False,BOM/产品能力,请问贵公司是否有机器人相关产品？ | 您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造。公司产品序列包括各类标准轴承、交叉滚子轴承、行星齿轮、滚珠丝杠、行星滚柱丝杠及电路板产品都可适用于机器人，各类减速器、关节模组和感应模组均可适配，谢谢。
002708.SZ,20251010,互动易,看到黄山建投官网报道的贵公司在黄山基地的6000万套人形机器人项目一期已经于9月29日顺利封顶，预计年底完成设备调试，明年上半年正式投产，请问：一期项目预计产值多少？达产后的产能能满足公司的快速增长的订单需求吗？ | 您好，公司黄山建设项目“年产6000万套高端新能源汽车及机器人用精密零部件”，主要用于生产传动系统零部件，包括轴承、齿轮及空心轴类产品，适配电驱动系统、线控底盘中各类减速器模组及机器人关节模组等领域。项目一期达产后，预计产值10亿元，能够满足公司的订单需求，感谢您的关注！,True,False,产能扩张,看到黄山建投官网报道的贵公司在黄山基地的6000万套人形机器人项目一期已经于9月29日顺利封顶，预计年底完成设备调试，明年上半年正式投产，请问：一期项目预计产值多少？达产后的产能能满足公司的快速增长的订单需求吗？ | 您好，公司黄山建设项目“年产6000万套高端新能源汽车及机器人用精密零部件”，主要用于生产传动系统零部件，包括轴承、齿轮及空心轴类产品，适配电驱动系统、线控底盘中各类减速器模组及机器人关节模组等领域。项目一期达产后，预计产值10亿元，能够满足公司的订单需求，感谢您的关注！
002708.SZ,20251006,互动易,尊敬的董秘您好，近期公司发布多条公告，落实之前提到的“产业”与“资本”相结合的人形机器人发展战略。作为众多股东的一员，对公司未来发展非常期待。国庆假期期间，特斯拉公布人形机器人Optimus量产计划和最新“习武”视频，引发大量关注和热议。目前投资者比较关注“摆线针轮减速器”技术。相比谐波减速器，它更适合高负载场景，但加工精度要求较高导致成本偏高。请问公司是否具备“摆线针轮减速器”的生产能力？谢谢 | 您好，公司在减速器行业布局多年，是同时具备轴承、齿轮以及轴类产品研发和生产的专业厂家。公司具备摆线针轮减速器等相关核心部件的研发和生产能力，和国内某客户有合作，谢谢。,True,False,产能扩张,尊敬的董秘您好，近期公司发布多条公告，落实之前提到的“产业”与“资本”相结合的人形机器人发展战略。作为众多股东的一员，对公司未来发展非常期待。国庆假期期间，特斯拉公布人形机器人Optimus量产计划和最新“习武”视频，引发大量关注和热议。目前投资者比较关注“摆线针轮减速器”技术。相比谐波减速器，它更适合高负载场景，但加工精度要求较高导致成本偏高。请问公司是否具备“摆线针轮减速器”的生产能力？谢谢 | 您好，公司在减速器行业布局多年，是同时具备轴承、齿轮以及轴类产品研发和生产的专业厂家。公司具备摆线针轮减速器等相关核心部件的研发和生产能力，和国内某客户有合作，谢谢。
002708.SZ,20250930,公告目录,关于投资设立机器人业务公司的公告,False,False,其他产业线索,关于投资设立机器人业务公司的公告
002708.SZ,20250930,公告目录,关于投资设立机器人业务公司的公告,False,False,其他产业线索,关于投资设立机器人业务公司的公告
002708.SZ,20250930,公告目录,关于与专业投资机构共同投资设立机器人产业投资基金暨关联交易的公告,False,False,其他产业线索,关于与专业投资机构共同投资设立机器人产业投资基金暨关联交易的公告
002708.SZ,20250930,公告目录,关于与专业投资机构共同投资设立机器人产业投资基金暨关联交易的公告,False,False,其他产业线索,关于与专业投资机构共同投资设立机器人产业投资基金暨关联交易的公告
002708.SZ,20250927,互动易,董秘你好，今年以来PCB产家均大赚，贵公司也有相关业务，为什么公司毛利为-17%左右，是什么原因导致公司的此项还是亏损？全球能生产FPC和RFPC的企业不足十家，贵公司就是其中之一，贵公司是否抓住国产替代的机会，得到更多国内企业订单来改善亏损的局面，做到两线增长的局面。 | 您好，毛利主要是受战略性业务投入及产能爬坡等多重因素影响。目前公司线路板业务增量明显，四季度会有较大改善。公司FPC及RFPC产品以高多层Anylayer 的HDI产品为主，产品应用覆盖智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域。当前业务以海外终端客户为主，包括S客户、M客户、A客户等，均为市场头部企业，随着客户端份额不断提升，战略性投入的AI眼镜等项目逐步量产，以及国内市场的突破，公司FPC板块盈利能力将持续改善。感谢您的关注！,True,False,产能扩张,董秘你好，今年以来PCB产家均大赚，贵公司也有相关业务，为什么公司毛利为-17%左右，是什么原因导致公司的此项还是亏损？全球能生产FPC和RFPC的企业不足十家，贵公司就是其中之一，贵公司是否抓住国产替代的机会，得到更多国内企业订单来改善亏损的局面，做到两线增长的局面。 | 您好，毛利主要是受战略性业务投入及产能爬坡等多重因素影响。目前公司线路板业务增量明显，四季度会有较大改善。公司FPC及RFPC产品以高多层Anylayer 的HDI产品为主，产品应用覆盖智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域。当前业务以海外终端客户为主，包括S客户、M客户、A客户等，均为市场头部企业，随着客户端份额不断提升，战略性投入的AI眼镜等项目逐步量产，以及国内市场的突破，公司FPC板块盈利能力将持续改善。感谢您的关注！
002708.SZ,20250923,互动易,公司产品涉足 军工、储能等领域么？ | 您好，公司专注于各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部件及电子线路板、电子元器件的研发、生产与销售。公司轴承产品通过变速器主机厂或整车厂与相关车辆进行配套，公司产品暂不涉及储能领域，感谢您的关注！,False,True,降权/否定证据,公司产品涉足 军工、储能等领域么？ | 您好，公司专注于各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部件及电子线路板、电子元器件的研发、生产与销售。公司轴承产品通过变速器主机厂或整车厂与相关车辆进行配套，公司产品暂不涉及储能领域，感谢您的关注！
002708.SZ,20250923,互动易,董秘你好，看到您之前的答复说，下半年机器人业务订单快速增长。您的所谓快速，是增长50-100%还是100-200%，亦或是更高。看了公司半年报披露的毛利达到了25%以上。随着轴承及丝杆等机器人产品的放量，毛利是否还会继续提高？如果提高那三季报业绩是否会大幅度的增加？谢谢！ | 您好，具体业绩情况请以公司届时披露的定期报告为准，谢谢。,True,False,商业化阶段,董秘你好，看到您之前的答复说，下半年机器人业务订单快速增长。您的所谓快速，是增长50-100%还是100-200%，亦或是更高。看了公司半年报披露的毛利达到了25%以上。随着轴承及丝杆等机器人产品的放量，毛利是否还会继续提高？如果提高那三季报业绩是否会大幅度的增加？谢谢！ | 您好，具体业绩情况请以公司届时披露的定期报告为准，谢谢。
002708.SZ,20250922,互动易,请问公司线路板是否可应用于手机、智能穿戴、电脑等消费电子。 | 您好，公司线路板业务主要研发制造应用于消费电子和新能源汽车中各类FPCB板，产品种类覆盖单双面FPC到12层Anylayer RFPC等各种产品叠构，产品应用方面完全覆盖到智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域。,False,False,BOM/产品能力,请问公司线路板是否可应用于手机、智能穿戴、电脑等消费电子。 | 您好，公司线路板业务主要研发制造应用于消费电子和新能源汽车中各类FPCB板，产品种类覆盖单双面FPC到12层Anylayer RFPC等各种产品叠构，产品应用方面完全覆盖到智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域。
002708.SZ,20250912,互动易,你好董秘，光洋股份在工业机器人（如埃斯顿、新松合作）、服务机器人（智元）、人形机器人（宇树、小鹏）等不同赛道的布局中，哪个赛道的增长潜力被列为优先项？各赛道的产品收入占比目前是多少？ | 您好，公司积极布局机器人项目的研发和市场拓展，密切关注各赛道的发展趋势，聚焦机器人关节模组和感应模组相关零部件的研发制造，各类型机器人均可适配，公司将根据市场发展趋势随时作出市场策略调整。谢谢！,True,False,BOM/产品能力,你好董秘，光洋股份在工业机器人（如埃斯顿、新松合作）、服务机器人（智元）、人形机器人（宇树、小鹏）等不同赛道的布局中，哪个赛道的增长潜力被列为优先项？各赛道的产品收入占比目前是多少？ | 您好，公司积极布局机器人项目的研发和市场拓展，密切关注各赛道的发展趋势，聚焦机器人关节模组和感应模组相关零部件的研发制造，各类型机器人均可适配，公司将根据市场发展趋势随时作出市场策略调整。谢谢！
002708.SZ,20250912,互动易,你好，董秘，光洋股份黄山基地（年产 6000 万套机器人精密零部件）目前的产能爬坡进度如何？机器人部件的良率是否已达到行业主流水平（如 95% 以上）？产能释放是否能匹配客户未来 1-2 年的需求增长？ | 您好，公司黄山基地建设项目主要用于生产传动系统零部件，包括轴承、齿轮及空心轴类产品，适配电驱动系统、线控底盘中各类减速器模组及机器人关节模组等领域，目前正在开展厂房地基施工建设等相关工作，部分产线根据项目进度已经通过租赁厂房等方式先期进行建设；公司针对不同零部件和工艺，设定具体的关键绩效指标，顶层设计、全员参与、持续迭代系统工程，发挥公司在轴承、齿轮、电路板方面的协同优势，借助合作的机器人整机公司的产业引领，持续迭代改善，达到行业领先水平。黄山基地项目总投资额10亿元，产能足够覆盖近1-2年的需求增长，公司也将密切关注市场变化，控制好投资风险。感谢您的关注！,True,False,产能扩张,你好，董秘，光洋股份黄山基地（年产 6000 万套机器人精密零部件）目前的产能爬坡进度如何？机器人部件的良率是否已达到行业主流水平（如 95% 以上）？产能释放是否能匹配客户未来 1-2 年的需求增长？ | 您好，公司黄山基地建设项目主要用于生产传动系统零部件，包括轴承、齿轮及空心轴类产品，适配电驱动系统、线控底盘中各类减速器模组及机器人关节模组等领域，目前正在开展厂房地基施工建设等相关工作，部分产线根据项目进度已经通过租赁厂房等方式先期进行建设；公司针对不同零部件和工艺，设定具体的关键绩效指标，顶层设计、全员参与、持续迭代系统工程，发挥公司在轴承、齿轮、电路板方面的协同优势，借助合作的机器人整机公司的产业引领，持续迭代改善，达到行业领先水平。黄山基地项目总投资额10亿元，产能足够覆盖近1-2年的需求增长，公司也将密切关注市场变化，控制好投资风险。感谢您的关注！
002708.SZ,20250912,互动易,你好，董秘，随着 2025 年人形机器人量产加速（如小鹏 Iron、逐际动力等机型落地），光洋股份针对人形机器人的订单量是否有明确增长预期？当前已获 “量产定点” 的关节模组齿轮项目，2025 年下半年预计贡献多少收入？ | 您好，公司通过资本与产业双向合作的方式，加速开发人形机器人市场，下半年开始公司人形机器人相关订单迅速增长，公司积极布局相关产能进行匹配，具体进展公司会及时公告，感谢您的关注！,True,False,商业化阶段,你好，董秘，随着 2025 年人形机器人量产加速（如小鹏 Iron、逐际动力等机型落地），光洋股份针对人形机器人的订单量是否有明确增长预期？当前已获 “量产定点” 的关节模组齿轮项目，2025 年下半年预计贡献多少收入？ | 您好，公司通过资本与产业双向合作的方式，加速开发人形机器人市场，下半年开始公司人形机器人相关订单迅速增长，公司积极布局相关产能进行匹配，具体进展公司会及时公告，感谢您的关注！
