ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason,update_flag,code6
000004.SZ,20250118,20241231,续亏,14.0089,42.6726,-13500.0,-9000.0,-15699.29,20250118,预计:净利润-13500--9000,1、报告期内，受行业竞争加剧的影响，公司营业收入较上年同期有所下降。2、公司的毛利水平未能充分覆盖期间费用，且公司对应收账款计提坏账金额较大，导致公司业绩仍处于亏损状态。,0,000004
000004.SZ,20240710,20240630,续亏,14.0598,42.7065,-2400.0,-1600.0,-2792.64,20240710,预计:净利润-2400--1600,报告期内，公司经营情况较上年同期有所改善，同时公司积极提升经营效率，降本增效，营业总成本较上年同期有所下降，公司亏损减少。,1,000004
000004.SZ,20240710,20240630,续亏,14.0598,42.7065,-2400.0,-1600.0,-2792.64,20240710,预计:净利润-2400--1600,报告期内，公司经营情况较上年同期有所改善，同时公司积极提升经营效率，降本增效，营业总成本较上年同期有所下降，公司亏损减少。,0,000004
000004.SZ,20240130,20231231,续亏,74.7968,83.1979,-15000.0,-10000.0,-59516.28,20240130,预计:净利润-15000--10000,1、本报告期公司亏损同比大幅减少，主要原因为上年同期计提商誉减值损失4.3亿元，本报告期无商誉减值损失。2、本期亏损的主要原因是公司对应收账款计提坏账金额较大。3、由于部分业务预计回款周期较长，为控制经营风险，公司主动收缩了部分业务规模。,1,000004
000004.SZ,20240130,20231231,续亏,74.7968,83.1979,-15000.0,-10000.0,-59516.28,20240130,预计:净利润-15000--10000,1、本报告期公司亏损同比大幅减少，主要原因为上年同期计提商誉减值损失4.3亿元，本报告期无商誉减值损失。2、本期亏损的主要原因是公司对应收账款计提坏账金额较大。3、由于部分业务预计回款周期较长，为控制经营风险，公司主动收缩了部分业务规模。,0,000004
000006.SZ,20260131,20251231,续亏,96.81,98.41,-5000.0,-2500.0,-156836.54,20260131,预计:净利润-5000--2500,本报告期预计归属于上市公司股东的净利润为负，但亏损较上年缩窄，主要原因为公司本年计提的资产减值准备同比大幅减少。,1,000006
000006.SZ,20260131,20251231,续亏,96.81,98.41,-5000.0,-2500.0,-156836.54,20260131,预计:净利润-5000--2500,本报告期预计归属于上市公司股东的净利润为负，但亏损较上年缩窄，主要原因为公司本年计提的资产减值准备同比大幅减少。,0,000006
000006.SZ,20250715,20250630,续亏,72.5427,81.2135,-9500.0,-6500.0,-34599.23,20250715,预计:净利润-9500--6500,公司本期亏损的主要原因如下：（一）公司房地产业务毛利率较低。（二）基于审慎客观的原则，公司本期计提相应存货跌价准备。,0,000006
000006.SZ,20250121,20241231,续亏,-105.57,-61.96,-165000.0,-130000.0,-80265.28,20250121,预计:净利润-165000--130000,"公司业绩变动的主要原因如下：（1）公司房地产业务毛利率同比大幅下降。（2）报告期末,公司部分房地产开发项目存在减值迹象,基于审慎客观的原则，公司本期计提相应存货跌价准备。",0,000006
000006.SZ,20240706,20240630,首亏,-4223.0,-2456.0,-35000.0,-20000.0,848.82,20240706,预计:净利润-35000--20000,公司业绩变动的主要原因如下：（1）基于审慎客观的原则，公司本期计提相应存货跌价准备。（2）公司房地产业务毛利率同比下降。,1,000006
000006.SZ,20240706,20240630,首亏,-4223.0,-2456.0,-35000.0,-20000.0,848.82,20240706,预计:净利润-35000--20000,公司业绩变动的主要原因如下：（1）基于审慎客观的原则，公司本期计提相应存货跌价准备。（2）公司房地产业务毛利率同比下降。,0,000006
000006.SZ,20240131,20231231,首亏,-328.78,-262.05,-96000.0,-68000.0,41961.91,20240131,预计:净利润-96000--68000,公司业绩变动的主要原因如下：（1）报告期内，公司房地产业务结转面积和结转收入同比下降；（2）报告期末，公司部分房地产开发项目存在减值迹象，基于谨慎性原则，经聘请资产评估机构对存货初步评估并进行减值测试，本期计提相应存货跌价准备。围绕中央构建房地产发展新模式的部署，公司将依托稳定的资金，积极采取开拓相关业务领域等举措，促进公司稳健经营和健康发展。,1,000006
000006.SZ,20240131,20231231,首亏,-328.78,-262.05,-96000.0,-68000.0,41961.91,20240131,预计:净利润-96000--68000,公司业绩变动的主要原因如下：（1）报告期内，公司房地产业务结转面积和结转收入同比下降；（2）报告期末，公司部分房地产开发项目存在减值迹象，基于谨慎性原则，经聘请资产评估机构对存货初步评估并进行减值测试，本期计提相应存货跌价准备。围绕中央构建房地产发展新模式的部署，公司将依托稳定的资金，积极采取开拓相关业务领域等举措，促进公司稳健经营和健康发展。,0,000006
000007.SZ,20260422,20251231,预减,-97.7,-96.63,130.0,190.0,5642.17,20260128,预计:净利润130-190,公司前期业绩预测时，由于张嘉豪案件未有实质性进展，公司基于谨慎性原则对该案件预计损失计提了预计负债。2026年4月21日公司收到广东省深圳市福田区人民法院(2025)粵0304民初47192号《民事判决书》，法院裁定驳回原告张嘉豪的全部诉讼请求。根据《企业会计准则》相关规定，该判决结果将对公司2025年年度利润产生重大积极影响，该事项属于非经常性损益，故公司据此对前次业绩预告数据进行修正，具体影响金额以年审会计师审计确认后的结果为准。,0,000007
000007.SZ,20260128,20251231,首亏,-109.748,-106.5578,-550.0,-370.0,5642.17,20260128,预计:净利润-550--370,业绩变动主要原因系本期诉讼仲裁案件计提预计负债872.30万元。,1,000007
000007.SZ,20260128,20251231,首亏,-109.748,-106.5578,-550.0,-370.0,5642.17,20260128,预计:净利润-550--370,业绩变动主要原因系本期诉讼仲裁案件计提预计负债872.30万元。,0,000007
000007.SZ,20250124,20241231,预增,8.43,61.25,3900.0,5800.0,3596.93,20250124,预计:净利润3900-5800,"业绩变动主要原因系本期谢楚安案件和解产生收益约5,356万元所致。本期非经常性损益约4,736万元，主要包括：谢楚安案件和解收益约5,356万元；涉练卫飞案件律师及仲裁费约845万元；所得税影响约-204万元等。",0,000007
000007.SZ,20240713,20240630,预减,-83.52,-75.28,200.0,300.0,1213.67,20240713,预计:净利润200-300,1.业绩变动主要原因系上年同期有确认北京泓钧债务重组收益1262万元及计提谢楚安案利息549万元造成上年同期较本期收益多出713万元，本期物业租赁收益减少约140万元。2.2024年上半年，预计非经常性损益项目对归属于上市公司股东净利润的影响金额约为20-22万元，主要为报告期内核销无需支付的应付款项。,1,000007
000007.SZ,20240713,20240630,预减,-83.52,-75.28,200.0,300.0,1213.67,20240713,预计:净利润200-300,1.业绩变动主要原因系上年同期有确认北京泓钧债务重组收益1262万元及计提谢楚安案利息549万元造成上年同期较本期收益多出713万元，本期物业租赁收益减少约140万元。2.2024年上半年，预计非经常性损益项目对归属于上市公司股东净利润的影响金额约为20-22万元，主要为报告期内核销无需支付的应付款项。,0,000007
000007.SZ,20240125,20231231,扭亏,548.0538,678.7361,2400.0,3100.0,-535.65,20240125,预计:净利润2400-3100,"业绩变动主要原因系本期收到汉富控股诉讼仲裁补偿款1500万元及与北京泓钧债务重组取得收益约1,262万元所致。本期非经常性损益约1,568万元，主要包括：债务重组收益约1,262万元；汉富控股诉讼仲裁补偿款冲抵应收练卫飞款1500万元，转回坏账准备1500万元；谢楚安案件新增利息约-1,108万元；证券投资收益约54万元；非流动资产处置损益约44万元；政府补助等约14万元；其他营业外收支约9万元；所得税影响约-182万元；少数股东损益影响约-25万元。2023年度预计扣除后营业收入较上年度变动较大原因系：由于日用品贸易业务和汽车销售业务属于2021年度新增贸易业务，按照《深圳证券交易所上市公司自律监管指南第1号-业务办理》规定，日用品贸易业务和汽车销售业务营业收入在2021年度和2022年度两个年度内均应当作为“本会计年度以及上一会计年度新增贸易业务所产生的收入”事项进行扣除,2023年已不触及上述规定的情形,相关营业收入2023年预计不再被扣除。",1,000007
000007.SZ,20240125,20231231,扭亏,548.0538,678.7361,2400.0,3100.0,-535.65,20240125,预计:净利润2400-3100,"业绩变动主要原因系本期收到汉富控股诉讼仲裁补偿款1500万元及与北京泓钧债务重组取得收益约1,262万元所致。本期非经常性损益约1,568万元，主要包括：债务重组收益约1,262万元；汉富控股诉讼仲裁补偿款冲抵应收练卫飞款1500万元，转回坏账准备1500万元；谢楚安案件新增利息约-1,108万元；证券投资收益约54万元；非流动资产处置损益约44万元；政府补助等约14万元；其他营业外收支约9万元；所得税影响约-182万元；少数股东损益影响约-25万元。2023年度预计扣除后营业收入较上年度变动较大原因系：由于日用品贸易业务和汽车销售业务属于2021年度新增贸易业务，按照《深圳证券交易所上市公司自律监管指南第1号-业务办理》规定，日用品贸易业务和汽车销售业务营业收入在2021年度和2022年度两个年度内均应当作为“本会计年度以及上一会计年度新增贸易业务所产生的收入”事项进行扣除,2023年已不触及上述规定的情形,相关营业收入2023年预计不再被扣除。",0,000007
