公司代码,公司名称,行业,后台节点ID,后台节点名称,L1,L2,L3,L4,L5,L6,L7,L8证据清单,L8证据状态,当前映射关键词,证据缺口,映射状态,置信度,映射来源,规则来源,映射证据ID数,直接L8证据数,映射ID
301666,大普微,IT设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_301666_ai_compute_hardware
600498,烽火通信,通信设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,芯片,AI芯片/GPU/ASIC/光芯片,AI芯片/芯片业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,芯片,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_600498_ai_compute_hardware
600589,大位科技,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_600589_ai_compute_hardware
603019,中科曙光,IT设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,服务器,AI服务器/整机集群,AI服务器业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务器,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_603019_ai_compute_hardware
603138,海量数据,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_603138_ai_compute_hardware
605398,新炬网络,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_605398_ai_compute_hardware
688002,睿创微纳,通信设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,芯片,AI芯片/GPU/ASIC/光芯片,AI芯片/芯片业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,芯片,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688002_ai_compute_hardware
688313,仕佳光子,通信设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,芯片,AI芯片/GPU/ASIC/光芯片,AI芯片/芯片业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,芯片,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688313_ai_compute_hardware
688343,云天励飞,软件服务,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,芯片,AI芯片/GPU/ASIC/光芯片,AI芯片/芯片业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,芯片；硬件,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688343_ai_compute_hardware
920808,曙光数创,IT设备,ai_compute_hardware,硬件,未来产业主攻方向,AI算力,AI算力产业链,算力硬件,数据中心,智算中心/IDC/液冷基础设施,数据中心/智算中心业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据中心,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_920808_ai_compute_hardware
000034,神州数码,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；云服务,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_000034_ai_compute_software
002104,恒宝股份,通信设备,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,操作系统,服务器操作系统/国产操作系统,操作系统业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,操作系统,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_002104_ai_compute_software
300846,首都在线,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,云服务,云算力/云服务,云服务业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,云服务,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300846_ai_compute_software
300895,铜牛信息,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；云服务；平台,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_300895_ai_compute_software
600588,用友网络,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；数据库,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_600588_ai_compute_software
600797,浙大网新,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,云服务,云算力/云服务,云服务业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,云服务,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_600797_ai_compute_software
603138,海量数据,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,数据库,数据库/数据管理,数据库业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,数据库；平台,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_603138_ai_compute_software
603881,数据港,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,云服务,云算力/云服务,云服务业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,云服务,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_603881_ai_compute_software
688039,当虹科技,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,云服务,云算力/云服务,云服务业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,云服务；平台,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688039_ai_compute_software
688058,宝兰德,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；中间件；平台,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688058_ai_compute_software
688152,麒麟信安,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,操作系统,服务器操作系统/国产操作系统,操作系统业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,操作系统,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688152_ai_compute_software
688327,云从科技,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,算法,AI算法/推理算法,AI算法业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,算法；操作系统,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688327_ai_compute_software
688343,云天励飞,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；算法,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688343_ai_compute_software
688369,致远互联,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；云服务；平台,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688369_ai_compute_software
688479,友车科技,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；云服务；平台,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688479_ai_compute_software
688562,航天软件,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；云服务,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688562_ai_compute_software
688682,霍莱沃,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；算法,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688682_ai_compute_software
688692,达梦数据,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；数据库,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688692_ai_compute_software
688695,中创股份,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；中间件,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_688695_ai_compute_software
920036,觅睿科技,IT设备,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,软件,算力调度/AI平台软件,基础软件/算力调度软件业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,软件；云服务,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_920036_ai_compute_software
920493,并行科技,软件服务,ai_compute_software,软件,未来产业主攻方向,AI算力,AI算力产业链,基础软件/算力调度,云服务,云算力/云服务,云服务业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,云服务,无系统缺口记录；仍需补L8原文证据,verified,0.85,main_business,supply_chain_foundation,0,0,auto_920493_ai_compute_software
000034,神州数码,软件服务,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000034_ai_compute_application
000063,中兴通讯,通信设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,解决方案,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,解决方案；智能；服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.45,introduction,supply_chain_foundation,0,0,auto_000063_ai_compute_application
000066,中国长城,IT设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000066_ai_compute_application
000070,特发信息,通信设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000070_ai_compute_application
000158,常山北明,软件服务,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000158_ai_compute_application
000409,云鼎科技,软件服务,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000409_ai_compute_application
000503,国新健康,软件服务,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.45,introduction,supply_chain_foundation,0,0,auto_000503_ai_compute_application
000547,航天发展,通信设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,应用,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,应用,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000547_ai_compute_application
000555,神州信息,软件服务,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,解决方案,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,解决方案；应用；服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000555_ai_compute_application
000561,烽火电子,通信设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,应用,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,应用；服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.45,introduction,supply_chain_foundation,0,0,auto_000561_ai_compute_application
000586,汇源通信,通信设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000586_ai_compute_application
000889,中嘉博创,通信设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,智能,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,智能,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000889_ai_compute_application
000938,紫光股份,IT设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,解决方案,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,解决方案；智能；应用；服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.45,introduction,supply_chain_foundation,0,0,auto_000938_ai_compute_application
000948,南天信息,软件服务,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,应用,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,应用；服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.45,introduction,supply_chain_foundation,0,0,auto_000948_ai_compute_application
000977,浪潮信息,IT设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,服务,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.45,introduction,supply_chain_foundation,0,0,auto_000977_ai_compute_application
000997,新大陆,IT设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,解决方案,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,解决方案；服务,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_000997_ai_compute_application
001229,魅视科技,IT设备,ai_compute_application,应用,未来产业主攻方向,AI算力,AI算力产业链,行业应用,应用,行业AI应用/解决方案,行业AI应用业务,研发进展；样机或小批量交付；客户验证；订单或中标；产线建设或量产；收入和毛利改善；专利与标准,暂无直接L8原文证据，需补公告/研报/年报,应用,是否有明确客户或供应链认证；是否有量产、扩产、订单或定点公告；该产品收入占比是否足够高；是否存在国产替代或卡脖子稀缺性证据,pending_review,0.5,main_business,supply_chain_foundation,0,0,auto_001229_ai_compute_application
